Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
PVDS40,SK,JM,The Great Auto Mystery,How can one be both alive and dead? This question is explored as the Thinking Machine must make sense of the death of a famous Miss Melrose as well as the complex love affairs that surround the case.,,JF,,Standard,"""I'm going to make a request, Mr. Mallory,"" said The Thinking Machine. ""I know it will be a cause of pleasure to Mr. Reid. It is that you release Mr. Curtis, who is charged with the murder of Miss Melrose.""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,0,0,0,0,0,0,0,0,0,Yes,,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Suspected murder, Fraud","Love, Pride",,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The belt with initials on the body,Physical clue,Jack Curtis thinks he has seen Marguerite after her murder,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1907,Book,The Thinking Machine
PVDS41,SK,JM,The Mystery of the Fatal Cipher,"Complicated family relationships? Poetic letters? When a man dies leaving behind a myserious note, the Thinking Machine must enter the case in order to make sense of what seems to be a murder. ",,JF,,Standard,"""I'm going to make a request, Mr. Mallory,"" said The Thinking Machine. ""I know it will be a cause of pleasure to Mr. Reid. It is that you release Mr. Curtis, who is charged with the murder of Miss Melrose.""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,0,0,0,0,0,1,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → different qrime,During the investigation,"Suspected murder, Theft, Fraud, Assault, Forgery","Greed, Revenge",,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The akwardness of the dad's letter,Physical clue,The bad relationship between the adopted daughter and the brother,Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1907-02-03,Journal,Associated Sunday Magazine
PVDS42,SK,JM,The Mystery of the Flaming Phantom,"Hutchinson Hatch is sent by his editor to cover the story of a haunted house occupied by a ghost that terrorizes an entire village. Although the journalist arrives thinking the haunting is a simple joke, he runs away on the first night, terrified by a flaming phantom…",,JF,,Standard,"The Thinking Machine changed his position slightly, readjusted his thick glasses for a long, comfortable squint, and told the story, from the beginning, as he always told a story. Here it is:",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,4,0,0,0,0,2,0,0,0,No,Acts alone,The assistant(s),Police are not present,Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Assault, Breaking and entering",Greed,Unknown,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The jewels in the house,Testimonial clue,The cousin owning a boat,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,No,1907,Book,The Thinking Machine
PVDS43,SK,JM,The Mystery of the Golden Dagger,"When the dead body of a young girl is discovered lying with a unique golden dagger, all evidence points towards its owner. However, with a completely unexpected turn in events, we soon find out that matters are actually far more complicated than they seem.",,JF,,Standard,"Meanwhile, you have the real murderer in Charlestown prison now.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch ,Male,Independent amateur,,,,,0,1,0,0,0,3,0,0,0,No,Acts on behalf of a crime syndicate,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Assault, Breaking and entering",Greed,Knife/sword,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The imprints of the piano on the cellar's floor,Physical clue,The repeated thefts in the neighbourhood ,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1907,Book,The Thinking Machine
PVDS14,MS,WW,The Problem of the Stolen Bank Notes,"Mort Dolan, bank robber by profession, has once again managed to steal a sizable sum. But when a minute oversight leads to his arrest, he is desperate to convey to his wife Belle where he has hidden the money. ",,JF,,Standard,"It went further back than that,",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,0,0,0,0,1,1,0,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,Theft,"Greed, Love",,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",Dolan asks his wife to mend his brown coat. ,Testimonial clue,Dolan asks his wife to mend his brown coat. ,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1906-11-18,Journal,Associated Sunday Magazine
PVDS15,MS,WW,The Problem of the Superfluous Finger,"A young woman arrives at Dr. Prescott's practice, asking to have her perfectly healthy forefinger removed at the first joint. Although Prescott initially refuses, she forces his hand by injuring her finger. A day later, she is found murdered in her apartment. ",,JF,,Standard,"""I have the photograph of her murderer in my pocket,"" returned The Thinking Machine. ""Also a photograph of an accomplice.""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,0,1,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,During the investigation,"Murder, Fraud",Greed,"Poison, Asphyxiation",Yes,No,No,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","The dead woman’s finger was amputated long ago, while Dr. Prescott had only recently performed the operation on his patient. ",Physical clue,The patient's insistence on getting her finger amputated and the subsequent appearance of a dead body identifiable by an amputated finger.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1906-11-25,Journal,Associated Sunday Magazine
PVDS16,MS,WW,My First Experience with the Great Logician,"The author narrates his own first meeting with Professor Augustus Van Dusen, the Thinking machine: As he strolls across the Boston Common, towards Beacon Hill, the author collapses suddenly, without apparent reason. Fortunately, Van Dusen happens to be close at hand.",,JF,,Standard,"""You poisoned yourself,"" said The Thinking Machine again impatiently. ""You talk like a child.""",Augustus Van Dusen,Male,Independent amateur,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,The detective(s) themselves,Police are not present,_none,No qrime → no qrime,Before the investigation,,,,No,No,No,"Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The poison and cigars in his pocket. ,Physical clue,_none,_none,,,,Physical evidence,Yes,No,Yes,1,No,1907-01-20,Journal,Associated Sunday Magazine
PVDS17,MS,WW,The Problem of the Knotted Cord,"After the strangulation of fourteen-year-old Mildred Barrett, the police are stumped by this seemingly motiveless murder. The Thinking Machine claims that soon the crime will repeat itself.",,JF,,Standard,"""No,"" said the scientist again. ""I was going to tell you that James Gillespie attacked his brother Bartow, and attempted to strangle him—did strangle him;",Augustus Van Dusen,Male,Independent amateur,,,,,,,,,,,,2,1,0,0,0,1,0,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation",Murder,"Self-defence, Insanity","Firearm, Asphyxiation",No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","The old head injury and facial expression on the culprit’s body, indicating insanity. ",Physical clue,The repetition of the same crime on unrelated victims.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1907-01-20,Journal,Associated Sunday Magazine
PVDS18,MS,WW,The Problem of the Souvenir Cards,"One William C. Colgate approaches Augustus Van Dusen to decode a series of postcards of Washington, Boston, and New Orleans. Colgate suspects that these encrypted messages might have something to do with his recently stolen diamond. ",,JF,,Standard,"""Ah, Mr. Mallory,"" he said, without turning his head or glancing back. ""This is Mr. Bradlee Cunnyngham Leighton. You may have heard of him before?""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,0,0,0,0,2,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud",Greed,,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Hutchinson Hatch recognizes the man claiming to be William C. Colgate as Bradlee Cunnyngham Leighton.,Physical clue,Colgate cannot decrypt the cipher. ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1907-02-03,Journal,Associated Sunday Magazine
PVDS24,SO,MAL,Problem of the Private Compartment,Two former classmates embark a train voyage that ends with one being shot to death. Death parts Miss Julia Farrar from her lover before she is even married. Can the Thinking Machine solve this mystery? Will he rely on logic or hypnotism?,,JF,,Standard,"""They were asleep there. So that makes the affair perfectly clear.""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,0,1,0,0,0,1,0,0,0,No,Acts alone,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,Murder,"Revenge, Jealousy",Firearm,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Charles Wingate’s telegraph cancelling the wedding,Physical clue,Mary's hypnotized testimony,Testimonial clue,Mary's revolver,Testimonial clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1907-04-28,Journal,Associated Sunday Magazine
PVDS25,SO,MAL,The Problem of the Cross Mark,"A distinguished character actor recalls his desperate role three years prior when he took on the appearance of an old man in exchange for a hundred dollars, and his life. He never saw the perpetrators again and the whole riddle seems bizarre, but not to The Thinking Machine; danger awaits.",,JF,,Reverse,"Detective Mallory was at home in bed; but Detective Cunningham, another shining light, received his distinguished visitor and Hatch.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,1,0,0,0,3,1,0,0,,Acts together with one or more equal partners,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Fraud, Blackmail, Assault, Forgery, Kidnapping","Greed, Pride, Duress",,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Recipients of the will with crossed signature,Physical clue,The signing of a will while pretending to be an old man,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1907-05-12,Journal,Associated Sunday Magazine
PVDS26,SO,MAL,The Problem of the Ghost Woman,"Late one night when a burglar combs through the belongings of a wealthy man in search of something important, he is startled by a ghost… with a gun! The Thinking Machine is called to solve this seemingly supernatural mystery and get to the bottom of 19th century property wars.",,JF,,Standard,"""Ruby Reagan,"" repeated the scientist thoughtfully. ""Oh, yes. He's asleep in the next room there.""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,2,0,0,0,0,1,1,0,0,Yes,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Theft, Fraud, Bribery, Assault","Greed, Love, Pride",,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The ghost's connection with the Pendexter case,Testimonial clue,There was more money in the safe after it was broken into -> not after money,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,2,No,1907-05-26,Journal,Associated Sunday Magazine
